LATITUDE,LONGITUDE,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,PHOTO_URL
39.7737,46.8607,306.7,1.3,1.1,2020-10-30,807,Terra,MODIS,42,6.03,295.2,5.4,D,0.0,/PhotoFile4Wildfire/39.7737_46.8607_42.png
39.6948,46.8962,314.6,1.3,1.1,2020-10-30,807,Terra,MODIS,71,6.03,294.3,15.3,D,0.0,/PhotoFile4Wildfire/39.6948_46.8962_71.png
39.3179,48.65,336.37,0.51,0.41,2022-04-10,921,N,VIIRS,n,2,304.37,10.19,D,0.0,/PhotoFile4Wildfire/39.31789_48.65_n.png
41.2114,48.8078,349.2,0.46,0.39,2022-08-16,922,N,VIIRS,l,2,323.73,36.08,D,0.0,/PhotoFile4Wildfire/41.2114_48.80783_l.png
38.8615,48.824,324.66,0.32,0.55,2022-08-16,2321,N,VIIRS,n,2,293.19,1.45,N,0.0,/PhotoFile4Wildfire/38.86151_48.82397_n.png
38.9188,48.5755,347.12,0.35,0.57,2022-08-28,856,N,VIIRS,n,2,301.68,5.98,D,0.0,/PhotoFile4Wildfire/38.9188_48.5755_n.png
41.6309,46.7023,301.82,0.37,0.58,2022-08-31,2339,N,VIIRS,n,2,291.24,1.01,N,0.0,/PhotoFile4Wildfire/41.6309_46.70234_n.png
39.7273,46.4821,350.06,0.51,0.49,2022-09-03,1025,N,VIIRS,n,2,315.01,5.78,D,0.0,/PhotoFile4Wildfire/39.7273_46.4821_n.png
41.6278,46.7076,313.33,0.4,0.37,2022-09-03,2243,N,VIIRS,n,2,294.95,1.46,N,0.0,/PhotoFile4Wildfire/41.62777_46.70757_n.png
39.7318,46.5192,314.35,0.39,0.36,2022-09-03,2244,N,VIIRS,n,2,288.76,1.97,N,0.0,/PhotoFile4Wildfire/39.7318_46.51924_n.png
39.7311,46.5238,302.04,0.39,0.36,2022-09-03,2244,N,VIIRS,n,2,286.64,0.37,N,0.0,/PhotoFile4Wildfire/39.73113_46.52378_n.png
39.7233,46.4837,299.57,0.39,0.36,2022-09-03,2244,N,VIIRS,n,2,287.56,0.26,N,0.0,/PhotoFile4Wildfire/39.72328_46.48372_n.png
41.1168,47.4726,353.51,0.39,0.36,2022-09-05,947,N,VIIRS,n,2,302.88,5.11,D,0.0,/PhotoFile4Wildfire/41.11676_47.47256_n.png
39.3512,46.506,334.58,0.6,0.53,2022-09-23,909,N,VIIRS,n,2,303.62,8.22,D,0.0,/PhotoFile4Wildfire/39.3512_46.50596_n.png
39.7357,46.3029,341.75,0.5,0.49,2022-09-28,916,N,VIIRS,n,2,309.17,6.67,D,0.0,/PhotoFile4Wildfire/39.7357_46.30294_n.png
39.7391,46.2725,334.48,0.5,0.49,2022-10-05,1025,N,VIIRS,n,2,300.79,3.22,D,0.0,/PhotoFile4Wildfire/39.73908_46.27253_n.png
39.7026,47.9642,337.12,0.44,0.62,2023-04-28,850,N20,VIIRS,n,2.0NRT,296.66,4.91,D,,/PhotoFile4Wildfire/39.70255_47.96423_n.png
39.6982,47.9686,342.17,0.37,0.58,2023-04-28,1032,N20,VIIRS,n,2.0NRT,304.29,8.47,D,,/PhotoFile4Wildfire/39.6982_47.96863_n.png
39.2262,49.0031,297.03,0.38,0.43,2023-08-06,915,N20,VIIRS,l,2.0NRT,322.26,66.24,D,,/PhotoFile4Wildfire/39.2262_49.00314_l.png
40.0078,48.3931,322.7,1.0,1.0,2019-02-18,743,Terra,MODIS,82,6.03,285.0,22.4,D,0.0,/PhotoFile4Wildfire/40.0078_48.3931.png
40.3217,46.7779,326.7,1.1,1.0,2019-05-09,743,Terra,MODIS,66,6.03,305.0,14.0,D,0.0,/PhotoFile4Wildfire/40.3217_46.7779.png
39.2427,45.3242,342.1,1.3,1.1,2019-06-16,1024,Aqua,MODIS,87,6.03,320.6,24.3,D,0.0,/PhotoFile4Wildfire/39.2427_45.3242.png
41.1486,49.0101,376.4,1.1,1.0,2019-06-20,959,Aqua,MODIS,100,6.03,317.2,137.6,D,0.0,/PhotoFile4Wildfire/41.1486_49.0101.png
39.6472,47.2543,354.8,1.3,1.1,2019-06-28,730,Terra,MODIS,97,6.03,310.4,78.8,D,0.0,/PhotoFile4Wildfire/39.6472_47.2543.png
39.6455,47.2696,337.5,1.3,1.1,2019-06-28,730,Terra,MODIS,68,6.03,311.5,25.5,D,0.0,/PhotoFile4Wildfire/39.6455_47.2696.png
39.6574,47.256,334.6,1.3,1.1,2019-06-28,730,Terra,MODIS,48,6.03,311.3,20.4,D,0.0,/PhotoFile4Wildfire/39.6574_47.256.png
39.632,47.2539,336.2,3.7,1.8,2019-06-28,910,Aqua,MODIS,84,6.03,303.5,146.6,D,0.0,/PhotoFile4Wildfire/39.632_47.2539.png
39.639,47.247,332.4,3.7,1.8,2019-06-28,910,Aqua,MODIS,77,6.03,303.8,109.1,D,0.0,/PhotoFile4Wildfire/39.639_47.247.png
39.713,47.4152,347.3,1.0,1.0,2019-07-03,749,Terra,MODIS,93,6.03,317.8,38.6,D,0.0,/PhotoFile4Wildfire/39.713_47.4152.png
39.9377,47.2748,332.7,1.0,1.0,2019-07-03,749,Terra,MODIS,81,6.03,311.7,14.6,D,0.0,/PhotoFile4Wildfire/39.9377_47.2748.png
39.8098,47.3859,337.4,1.0,1.0,2019-07-03,749,Terra,MODIS,46,6.03,316.9,17.3,D,0.0,/PhotoFile4Wildfire/39.8098_47.3859.png
39.746,47.3821,335.9,1.0,1.0,2019-07-03,749,Terra,MODIS,77,6.03,315.9,15.1,D,0.0,/PhotoFile4Wildfire/39.746_47.3821.png
39.426,47.1716,337.5,1.0,1.0,2019-07-03,749,Terra,MODIS,77,6.03,320.2,13.9,D,0.0,/PhotoFile4Wildfire/39.426_47.1716.png
38.8688,46.1265,323.3,2.4,1.5,2019-07-03,928,Aqua,MODIS,49,6.03,304.4,40.7,D,0.0,/PhotoFile4Wildfire/38.8688_46.1265.png
39.7335,47.3804,334.3,1.9,1.4,2019-07-03,929,Aqua,MODIS,52,6.03,311.8,36.6,D,0.0,/PhotoFile4Wildfire/39.7335_47.3804.png
39.7297,47.4011,355.9,1.9,1.4,2019-07-03,929,Aqua,MODIS,97,6.03,315.5,141.9,D,0.0,/PhotoFile4Wildfire/39.7297_47.4011.png
39.842,47.3051,332.8,2.0,1.4,2019-07-03,929,Aqua,MODIS,77,6.03,314.3,32.8,D,0.0,/PhotoFile4Wildfire/39.842_47.3051.png
39.2684,46.7916,337.3,1.2,1.1,2019-07-08,947,Aqua,MODIS,77,6.03,317.2,18.8,D,0.0,/PhotoFile4Wildfire/39.2684_46.7916.png
39.3113,46.5702,333.4,1.2,1.1,2019-07-08,947,Aqua,MODIS,65,6.03,310.3,22.4,D,0.0,/PhotoFile4Wildfire/39.3113_46.5702.png
41.231,46.7548,324.3,3.4,1.7,2019-07-18,705,Terra,MODIS,44,6.03,301.9,48.8,D,0.0,/PhotoFile4Wildfire/41.231_46.7548.png
39.1966,46.6643,348.8,3.3,1.7,2019-07-18,706,Terra,MODIS,93,6.03,304.5,273.7,D,0.0,/PhotoFile4Wildfire/39.1966_46.6643.png
39.9548,46.9694,325.6,3.2,1.7,2019-07-18,706,Terra,MODIS,66,6.03,304.2,51.3,D,0.0,/PhotoFile4Wildfire/39.9548_46.9694.png
39.6894,46.9836,318.9,4.5,2.0,2019-07-18,844,Terra,MODIS,30,6.03,301.5,70.2,D,0.0,/PhotoFile4Wildfire/39.6894_46.9836.png
39.2019,46.6782,329.5,4.5,2.0,2019-07-18,844,Terra,MODIS,61,6.03,305.4,140.2,D,0.0,/PhotoFile4Wildfire/39.2019_46.6782.png
39.1851,46.6718,326.7,4.5,2.0,2019-07-18,844,Terra,MODIS,42,6.03,303.6,113.7,D,0.0,/PhotoFile4Wildfire/39.1851_46.6718.png
41.2004,46.7596,331.9,1.6,1.3,2019-07-18,1024,Aqua,MODIS,54,6.03,308.1,18.7,D,0.0,/PhotoFile4Wildfire/41.2004_46.7596.png
39.1648,48.5208,341.8,1.2,1.1,2019-07-30,730,Terra,MODIS,85,6.03,312.1,30.5,D,0.0,/PhotoFile4Wildfire/39.1648_48.5208.png
39.4478,46.534,359.3,1.5,1.2,2019-07-31,813,Terra,MODIS,99,6.03,318.6,122.2,D,0.0,/PhotoFile4Wildfire/39.4478_46.534.png
39.9524,46.7474,331.1,2.2,1.4,2019-08-17,718,Terra,MODIS,80,6.03,300.4,60.1,D,0.0,/PhotoFile4Wildfire/39.9524_46.7474.png
39.889,46.7368,341.6,1.0,1.0,2019-08-20,749,Terra,MODIS,37,6.03,311.2,29.1,D,0.0,/PhotoFile4Wildfire/39.889_46.7368.png
39.376,46.5174,368.4,1.2,1.1,2019-08-22,736,Terra,MODIS,100,6.03,311.5,126.4,D,0.0,/PhotoFile4Wildfire/39.376_46.5174.png
39.3843,46.5319,348.6,1.2,1.1,2019-08-22,736,Terra,MODIS,92,6.03,313.2,54.4,D,0.0,/PhotoFile4Wildfire/39.3843_46.5319.png
39.0231,48.4385,328.7,1.0,1.0,2019-08-22,737,Terra,MODIS,60,6.03,308.2,18.5,D,0.0,/PhotoFile4Wildfire/39.0231_48.4385.png
39.3815,46.4991,334.1,4.4,1.9,2019-08-22,1054,Aqua,MODIS,54,6.03,307.5,181.5,D,0.0,/PhotoFile4Wildfire/39.3815_46.4991.png
39.3843,46.4903,316.3,1.3,1.1,2019-08-22,1841,Terra,MODIS,93,6.03,292.5,19.2,N,0.0,/PhotoFile4Wildfire/39.3843_46.4903.png
39.64,47.3623,324.9,1.1,1.0,2019-08-27,755,Terra,MODIS,73,6.03,308.8,7.3,D,0.0,/PhotoFile4Wildfire/39.64_47.3623.png
40.414,46.7578,352.8,1.0,1.0,2019-08-27,755,Terra,MODIS,96,6.03,304.2,59.6,D,2.0,/PhotoFile4Wildfire/40.414_46.7578.png
39.628,47.3439,325.1,1.6,1.2,2019-08-27,935,Aqua,MODIS,50,6.03,309.0,12.0,D,0.0,/PhotoFile4Wildfire/39.628_47.3439.png
39.127,48.2574,323.7,1.1,1.1,2019-09-28,755,Terra,MODIS,68,6.03,306.3,10.2,D,0.0,/PhotoFile4Wildfire/39.127_48.2574.png
39.1248,48.2703,328.4,1.1,1.1,2019-09-28,755,Terra,MODIS,76,6.03,307.2,16.9,D,0.0,/PhotoFile4Wildfire/39.1248_48.2703.png
